Danceability,Energy,Popularity,Loudness,Tempo
0.751,0.834,77,-5.444,95.053
0.434,0.897,79,-4.918,148.726
0.529,0.496,66,-9.007,136.859
0.551,0.913,78,-4.063,119.992
0.614,0.928,65,-4.806,172.656
0.706,0.888,69,-6.959,121.549
0.949,0.661,86,-4.244,104.504
0.708,0.772,68,-4.264,103.035
0.713,0.678,75,-3.525,138.009
0.72,0.808,77,-5.627,126.041
0.617,0.728,1,-7.932,139.066
0.745,0.958,56,-9.664,129.962
0.822,0.922,55,-5.798,163.826
0.586,0.659,62,-7.92,111.989
0.689,0.685,61,-5.153,160.067
0.797,0.622,53,-5.642,93.02
0.761,0.716,64,-5.8,119.41
0.671,0.88,73,-6.149,136.953
0.74,0.876,64,-6.87,127.002
0.922,0.909,82,-2.429,95.295
0.556,0.864,83,-5.87,105.143
0.801,0.876,65,-3.94,122.979
0.634,0.677,62,-7.278,135.012
0.656,0.88,54,-5.425,85.565
0.522,0.803,54,-5.825,135.205
0.425,0.852,72,-5.607,101.968
0.528,0.965,69,-7.984,136.065
0.879,0.681,53,-8.951,99.974
0.682,0.743,54,-10.644,127.962
0.644,0.72,47,-9.635,132.017
0.51,0.931,71,-3.302,201.936
0.85,0.674,49,-7.981,115.005
0.736,0.802,58,-8.527,119.854
0.839,0.641,52,-5.669,97.004
0.633,0.922,58,-4.842,84.11
0.813,0.491,59,-9.923,99.008
0.761,0.662,55,-7.645,120.043
0.88,0.814,69,-6.307,138.083
0.478,0.736,61,-7.124,144.705
0.798,0.48,55,-5.564,108.241
0.683,0.866,54,-5.436,121.996
0.739,0.947,66,-1.916,88.009
0.852,0.75,36,-5.153,72.016
0.924,0.74,79,-1.299,133.974
0.727,0.445,49,-11.241,81.125
0.63,0.625,68,-5.088,167.998
0.729,0.632,43,-8.75,109.981
0.772,0.688,59,-4.715,98
0.779,0.834,64,-2.773,100.46
0.829,0.652,52,-8.693,99.581
0.771,0.796,47,-3.081,99.316
0.63,0.95,60,-4.012,143.866
0.721,0.836,55,-3.972,126.279
0.746,0.443,60,-7.693,119.311
0.8,0.922,59,-5.125,98.631
0.348,0.532,59,-5.882,129.297
0.869,0.887,65,-4.505,129.221
0.854,0.543,63,-6.166,103.032
0.628,0.834,65,-6.341,97.865
0.408,0.849,0,-5.631,84.192
0.666,0.968,58,-3.196,135.099
0.742,0.732,52,-6.046,97.922
0.471,0.514,0,-5.599,117.338
0.682,0.744,60,-6.981,132.493
0.599,0.47,61,-8.356,127.177
0.631,0.734,58,-7.48,124.036
0.458,0.795,78,-3.265,123.229
0.826,0.656,55,-8.529,129.963
0.659,0.812,70,-7.499,83.014
0.777,0.601,66,-5.931,97.911
0.859,0.622,55,-8.196,134.007
0.822,0.847,55,-6.729,107.908
0.751,0.901,58,-5.802,124.017
0.655,0.791,59,-8.923,118.981
0.808,0.982,56,-6.588,124.999
0.771,0.685,70,-4.639,88.997
0.634,0.886,64,-5.424,93.04
0.545,0.865,78,-5.708,99.009
0.736,0.666,52,-4.929,89.824
0.914,0.607,57,-5.658,98.054
0.313,0.831,49,-3.894,152.034
0.664,0.396,57,-9.131,102.053
0.581,0.607,54,-8.458,102.03
0.491,0.593,68,-5.975,144.142
0.631,0.664,62,-9.197,100.618
0.73,0.602,65,-3.782,97.954
0.644,0.874,60,-4.666,165.09
0.724,0.416,54,-8.964,151.181
0.578,0.894,56,-5.42,165.98
0.518,0.83,54,-6.814,95.468
0.558,0.481,60,-9.487,144.673
0.575,0.786,70,-4.353,96.102
0.41,0.539,64,-8.412,138.852
0.607,0.82,68,-7.754,126.988
0.725,0.487,65,-5.959,136.086
0.625,0.85,71,-3.904,94.661
0.829,0.915,64,-3.205,118.903
0.459,0.83,69,-6.254,155.827
0.765,0.791,65,-5.707,95.026
0.865,0.664,68,-6.822,162.831
0.853,0.606,76,-4.596,94.759
0.514,0.911,70,-2.027,161.109
0.78,0.768,83,-4.325,80.063
0.766,0.563,73,-7.516,126.007
0.76,0.801,68,-3.769,109.919
0.622,0.608,1,-5.085,89.661
0.794,0.832,74,-4.862,107.657
0.643,0.849,78,-5.428,162.152
0.481,0.638,77,-5.862,79.064
0.637,0.929,62,-6.03,136.482
0.667,0.773,71,-4.983,89.976
0.847,0.843,69,-3.579,110.027
0.689,0.894,62,-6.342,123.971
0.622,0.669,57,-8.419,93.839
0.911,0.551,76,-3.75,92.887
0.645,0.903,53,-10.587,135.977
0.603,0.933,73,-3.358,96.306
0.643,0.981,65,-6.644,140.01
0.661,0.855,54,-8.403,123.943
0.668,0.772,54,-5.4,118.011
0.66,0.71,57,-4.541,97.988
0.721,0.737,63,-2.734,97.996
0.657,0.965,43,-2.771,93.013
0.736,0.811,71,-4.17,103.502
0.854,0.673,64,-3.132,95
0.908,0.557,73,-4.243,90.032
0.707,0.869,0,-4.525,99.825
0.7,0.787,50,-5.176,102.043
0.446,0.764,78,-5.042,172.094
0.613,0.697,76,-8.618,122.746
0.843,0.806,82,-5.946,94.948
0.682,0.917,50,-5.459,137.029
0.721,0.79,42,-4.125,103.141
0.725,0.583,73,-9.942,79.984
0.767,0.759,57,-6.516,89.989
0.563,0.86,69,-7.533,97.867
0.775,0.729,57,-4.229,104.719
0.797,0.75,68,-9.369,177.87
0.635,0.854,52,-5.02,100.851
0.872,0.868,60,-3.036,105.005
0.61,0.82,50,-10.029,127.993
0.663,0.694,74,-8.627,167.953
0.757,0.706,57,-6.665,96.976
0.676,0.601,48,-4.905,119.94
0.653,0.837,61,-6.818,97.914
0.786,0.842,67,-5.115,97.577
0.878,0.724,65,-5.373,121.906
0.612,0.579,55,-6.417,86.31
0.677,0.52,63,-6.255,203.862
0.631,0.821,47,-7.853,118.007
0.464,0.922,54,-8.399,129.078
0.653,0.964,75,-4.261,126.928
0.897,0.466,57,-9.053,100.01
0.78,0.634,68,-5.941,125.25
0.888,0.8,26,-3.944,106.957
0.699,0.618,53,-7.338,99.965
0.582,0.707,58,-4.487,78.375
0.578,0.581,58,-6.867,83.293
0.596,0.661,67,-6.239,129.491
0.802,0.341,68,-8.56,166.01
0.822,0.672,63,-6.133,117.033
0.682,0.744,60,-6.981,132.493
0.587,0.679,1,-6.26,180.184
0.739,0.679,61,-5.079,127.487
0.795,0.919,46,-3.07,134.079
0.751,0.568,56,-5.431,128.002
0.585,0.702,60,-5.734,139.909
0.418,0.249,69,-13.744,82.803
0.321,0.511,60,-7.77,128.98
0.541,0.899,58,-6.261,106.676
0.84,0.835,64,-4.386,103.376
0.573,0.665,53,-5.081,105.006
0.697,0.925,56,-4.209,96.951
0.55,0.804,68,-5.218,79.166
0.836,0.762,46,-5.044,133.592
0.676,0.715,0,-6.854,129.006
0.753,0.934,65,-3.011,113.525
0.747,0.706,66,-4.653,94.019
0.874,0.768,64,-4.086,106.095
0.73,0.602,65,-3.782,97.954
0.847,0.877,54,-5.424,131.044
0.708,0.587,66,-7.93,83.46
0.569,0.385,0,-9.919,99.738
0.607,0.637,51,-11.072,137.03
0.469,0.316,48,-8.106,77.967
0.713,0.829,0,-4.171,126.853
0.623,0.896,54,-4.719,95.158
0.558,0.481,60,-9.487,144.673
0.85,0.7,75,-6.49,101.875
0.933,0.561,59,-5.961,139.976
0.33,0.905,68,-5.047,163.142
0.618,0.844,63,-4.051,84.411
0.51,0.48,69,-6.567,182.862
0.743,0.894,56,-6.886,95.9
0.68,0.644,30,-4.507,116.097
0.509,0.774,64,-4.054,116.529
0.721,0.723,56,-7.08,88.933
0.562,0.594,65,-4.578,62.876
0.699,0.403,45,-8.564,113.922
0.537,0.858,61,-4.903,124.599
0.727,0.552,77,-8.074,168.189
0.908,0.669,87,-2.827,112.238
0.585,0.776,78,-5.898,77.987
0.56,0.825,75,-3.862,94.931
0.558,0.719,72,-5.113,112.027
0.616,0.597,64,-5.328,165.508
0.729,0.731,27,-4.822,138.202
0.701,0.677,58,-6.591,99.271
0.648,0.759,68,-4.315,85.996
0.548,0.847,85,-3.237,171.447
0.713,0.471,69,-7.392,199.764
0.955,0.839,60,-3.399,108.955
0.792,0.797,53,-5.166,123.993
0.718,0.69,53,-4.382,93.401
0.583,0.643,40,-7.486,195.685
0.556,0.864,83,-5.87,105.143
0.607,0.923,66,-6.777,184.819
0.641,0.72,0,-5.209,92.988
0.705,0.717,54,-4.944,97.036
0.74,0.845,59,-3.802,126.607
0.622,0.876,60,-7.779,142.017
0.686,0.698,43,-2.942,93.118
0.427,0.843,66,-4.54,147.387
0.682,0.894,61,-1.73,95.992
0.527,0.933,46,-6.277,144.043
0.969,0.701,49,-7.503,121.392
0.646,0.638,42,-5.803,86.994
0.611,0.654,52,-4.823,105.922
0.683,0.722,60,-4.039,95.012
0.697,0.793,55,-4.699,89.767
0.574,0.691,59,-5.103,91.969
0.486,0.904,47,-6.642,143.048
0.723,0.84,58,-3.523,94.332
0.777,0.751,59,-5.692,177.894
0.859,0.625,59,-4.234,102.072
0.66,0.536,64,-8.786,159.963
0.761,0.662,55,-7.645,120.043
0.956,0.745,75,-4.753,107.075
0.7,0.72,53,-6.061,106.986
0.64,0.889,68,-3.073,99.931
0.855,0.681,49,-4.955,99.699
0.517,0.919,45,-3.451,91.868
0.786,0.853,48,-8.274,126.99
0.835,0.707,73,-5.074,93.955
0.786,0.614,43,-6.554,103.887
0.771,0.665,26,-3.954,115.142
0.668,0.806,2,-3.9,95.022
0.618,0.938,80,-3.442,91.455
0.412,0.77,58,-6.057,101.955
0.778,0.761,59,-5.529,107.288
0.489,0.757,53,-4.062,168.004
0.64,0.59,47,-7.442,83.133
0.603,0.774,55,-6.066,124.994
0.791,0.863,58,-6.118,97.035
0.368,0.426,35,-8.049,106.52
0.66,0.707,63,-5.758,89.279
0.783,0.726,45,-8.718,148.062
0.705,0.872,24,-3.557,93.63
0.567,0.58,55,-5.757,157.596
0.734,0.848,62,-5.285,117.31
0.853,0.811,62,-4.927,114.964
0.412,0.667,32,-6.997,68.942
0.519,0.874,53,-5.122,96.072
0.908,0.758,71,-4.753,148.015
0.727,0.515,61,-6.553,89.488
0.542,0.589,54,-6.813,133.838
0.802,0.903,68,-3.267,128.93
0.652,0.41,52,-8.323,75.09
0.838,0.764,56,-5.076,133.592
0.577,0.749,79,-7.215,130.97
0.884,0.677,70,-5.603,101.868
0.555,0.496,60,-6.136,79.01
0.675,0.607,64,-3.538,177.928
0.32,0.88,69,-6.035,146.349
0.839,0.706,73,-6.104,96.673
0.665,0.695,70,-5.763,90.119
0.487,0.9,75,-4.417,149.937
0.571,0.953,63,-5.601,137.965
0.534,0.543,58,-6.857,78.996
0.754,0.767,67,-5.586,83.014
0.451,0.97,73,-4.938,122.444
0.597,0.97,60,-5.972,114.999
0.783,0.649,65,-4.127,103.997
0.745,0.807,50,-5.191,93.967
0.654,0.515,64,-12.185,106.191
0.513,0.82,57,-5.428,99.952
0.793,0.568,59,-4.958,100.005
0.38,0.725,47,-6.094,130.581
0.338,0.685,56,-5.178,102.192
0.58,0.748,70,-5.433,109.781
0.921,0.668,60,-8.73,131.059
0.661,0.746,40,-5.153,144.188
0.443,0.769,40,-5.529,147.973
0.499,0.72,60,-9.101,96.103
0.688,0.538,58,-7.608,119.998
0.776,0.844,56,-5.305,125.972
0.432,0.936,64,-4.537,157.469
0.424,0.588,72,-5.455,144.636
0.814,0.852,51,-6.176,184.682
0.624,0.85,60,-4.754,98.525
0.899,0.713,81,-2.752,90.051
0.735,0.824,74,-4.143,100.202
0.686,0.735,77,-4.616,171.355
0.646,0.77,76,-6.596,99.165
0.669,0.873,50,-4.315,88.029
0.835,0.687,68,-3.18,94.059
0.845,0.768,70,-5.448,100
0.81,0.714,56,-3.966,112.968
0.527,0.834,39,-5.767,179.92
0.793,0.698,66,-3.626,130.017
0.648,0.759,68,-4.315,85.996
0.778,0.879,61,-4.951,98.077
0.734,0.668,59,-3.935,99.971
0.759,0.678,71,-5.148,89.64
0.712,0.772,76,-3.024,84.722
0.801,0.645,69,-6.93,110.01
0.554,0.978,72,-3.554,135.095
0.761,0.899,70,-3.09,95.027
0.331,0.943,79,-3.188,94.612
0.785,0.933,57,-4.629,125.011
0.405,0.589,59,-7.51,83.373
0.498,0.83,72,-5.157,89.342
0.78,0.604,47,-8.019,101.043
0.835,0.68,62,-6.02,95.508
0.662,0.748,73,-3.041,82.331
0.602,0.34,36,-9.867,109.598
0.804,0.836,59,-6.635,120.046
0.564,0.6,57,-6.814,78.955
0.581,0.747,54,-6.682,146.301
0.892,0.714,76,-6.055,100.972
0.741,0.469,3,-7.627,123.904
0.772,0.724,54,-5.799,84.038
0.655,0.488,63,-9.17,91.025
0.849,0.498,47,-7.872,92.98
0.859,0.658,61,-4.481,98.989
0.455,0.858,68,-5.659,163.118
0.6,0.736,48,-6.228,158.108
0.606,0.699,50,-3.103,83.701
0.492,0.896,72,-5.819,184.981
0.791,0.733,58,-5.123,105.987
0.811,0.657,61,-6.197,199.958
0.568,0.867,58,-5.861,163.944
0.527,0.808,52,-4.749,87.025
0.883,0.887,57,-4.92,124.814
0.649,0.713,49,-6.488,101.129
0.595,0.489,70,-6.66,120.315
0.586,0.705,58,-4.904,98.014
0.802,0.863,57,-3.552,81.008
0.894,0.404,67,-5.913,102.009
0.866,0.749,69,-3.977,92.074
0.668,0.824,71,-4.164,163.961
0.853,0.752,48,-8.831,104.946
0.831,0.695,48,-6.491,132.817
0.646,0.813,72,-3.846,92.729
0.784,0.459,61,-9.74,164.062
0.707,0.538,57,-5.264,121.732
0.658,0.826,60,-6.031,134.465
0.553,0.775,59,-10.284,139.993
0.435,0.92,67,-1.357,188.899
0.655,0.433,49,-7.577,130.127
0.893,0.74,67,-4.936,101.025
0.747,0.398,57,-12.932,117.901
0.691,0.541,59,-5.873,127.683
0.66,0.698,0,-4.722,123.005
0.85,0.862,38,-3.587,130.036
0.751,0.84,57,-4.855,99.057
0.837,0.885,58,-3.914,95.313
0.53,0.768,67,-5.611,148.095
0.733,0.521,60,-3.657,112.913
0.624,0.654,73,-6.582,73.898
0.447,0.636,57,-5.08,105.678
0.612,0.735,60,-5.074,126.326
0.638,0.54,48,-6.849,143.772
0.714,0.862,56,-5.531,92.849
0.577,0.749,79,-7.215,130.97
0.649,0.718,54,-4.984,79.993
0.884,0.677,70,-5.603,101.868
0.71,0.797,65,-3.006,94.998
0.747,0.904,67,-2.623,118.877
0.614,0.568,75,-5.477,107.849
0.757,0.78,61,-5.038,97.917
0.649,0.536,55,-8.804,78.935
0.701,0.669,60,-5.265,83.066
0.618,0.552,64,-6.863,81.975
0.512,0.525,44,-6.823,169.951
0.758,0.957,63,-2.281,111.121
0.81,0.791,61,-5.909,153.067
0.646,0.6,61,-6.569,192.082
0.656,0.615,47,-6.359,175.943
0.769,0.646,61,-6.653,90.079
0.256,0.788,63,-5.263,80.718
0.871,0.597,66,-4.932,125.999
0.546,0.538,67,-7.886,182.12
0.397,0.903,61,-4.577,151.551
0.688,0.538,58,-7.608,119.998
0.62,0.93,68,-3.685,106.22
0.496,0.819,63,-5.656,100.215
0.489,0.649,74,-5.11,158.009
0.457,0.406,70,-7.462,151.95
0.641,0.445,55,-8.674,81.931
0.894,0.791,81,-4.699,105.018